pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CU,9/30/2023,78.1,-1.34,6.93,"Verlander, Justin",606466,434378,field_out,hit_into_play,,,,,8,Ketel Marte flies out to center fielder Mauricio Dubon.,R,L,R,AZ,HOU,X,8,fly_ball,0,0,2023,0.38,-1.1,-0.27,1.75,,,,2,5,Bot,101.27,84.54,,,455117,,,1.59137343,-113.6475037,-2.112763072,2.922344141,24.33998902,-41.40205863,3.56,1.7,291,89.5,41,77,2674,5.9,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.58,0.006,0.009,0,1,0,0,3,39,1,Curveball,0,1,0,1,1,0,0,1,Standard,Standard,33,-0.016,-0.106
CU,9/30/2023,80.7,-1.37,6.84,"Verlander, Justin",682998,434378,strikeout,called_strike,,,,,2,Corbin Carroll called out on strikes.,R,L,R,AZ,HOU,S,2,,2,2,2023,0.56,-1.23,0.04,3.11,,,,1,5,Bot,,,,,455117,,,2.072329111,-117.4532174,0.760814352,4.714467085,24.97259947,-43.82274531,3.17,1.57,,,,79.8,2786,5.9,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.58,,,0,1,0,0,,38,5,Curveball,0,1,0,1,1,0,0,1,,Standard,41,-0.024,-0.148
FF,9/30/2023,94.1,-1.12,6.88,"Verlander, Justin",682998,434378,,foul,,,,,2,Corbin Carroll called out on strikes.,R,L,R,AZ,HOU,S,,,2,1,2023,-0.71,1.38,-0.16,3,,,,1,5,Bot,,,,,455117,,,4.046345308,-136.9099247,-7.38650704,-9.786530026,30.8695083,-13.4415386,3.11,1.47,189,78.7,64,93.7,2359,6.1,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.4,,,,,,,,38,4,4-Seam Fastball,0,1,0,1,1,0,0,1,,Standard,206,0,-0.048
FF,9/30/2023,96.2,-1.05,6.9,"Verlander, Justin",682998,434378,,ball,,,,,12,Corbin Carroll called out on strikes.,R,L,R,AZ,HOU,B,,,1,1,2023,-0.66,1.47,0.1,4.25,,,,1,5,Bot,,,,,455117,,,4.525341356,-140.0292713,-4.732861752,-9.757684404,33.30201746,-11.98681282,3.2,1.57,,,,95.6,2513,6,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.46,,,,,,,,38,3,4-Seam Fastball,0,1,0,1,1,0,0,1,,Standard,204,0,0.034
FF,9/30/2023,94.6,-1.27,6.89,"Verlander, Justin",682998,434378,,ball,,,,,12,Corbin Carroll called out on strikes.,R,L,R,AZ,HOU,B,,,0,1,2023,-0.72,1.37,0.44,3.85,,,,1,5,Bot,,,,,455117,,,6.015487802,-137.6281183,-5.266518673,-10.47792624,31.1647566,-13.75728904,3.24,1.61,,,,94,2528,6,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.52,,,,,,,,38,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,203,0,0.019
FF,9/30/2023,95.7,-1.13,6.9,"Verlander, Justin",682998,434378,,called_strike,,,,,12,Corbin Carroll called out on strikes.,R,L,R,AZ,HOU,S,,,0,0,2023,-0.57,1.5,0.59,3.39,,,,1,5,Bot,,,,,455117,,,5.797286894,-139.1263022,-6.977289504,-8.730414944,32.83070584,-11.36647077,3.25,1.65,,,,95.1,2482,6.1,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.4,,,,,,,,38,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,204,0,-0.026
SL,9/30/2023,87.8,-1.29,6.87,"Verlander, Justin",672695,434378,strikeout,swinging_strike,,,,,14,Geraldo Perdomo strikes out swinging.,R,L,R,AZ,HOU,S,2,,1,2,2023,0.51,-0.01,0.85,1.32,,,,0,5,Bot,,,,,455117,,,4.098310079,-127.7220731,-7.299722392,4.76956483,25.18738737,-30.99822659,3.33,1.52,,,,87.4,2570,6,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.55,,,0,1,0,0,,37,4,Slider,0,1,0,1,1,0,0,1,,Standard,139,-0.034,-0.174
CU,9/30/2023,78.4,-1.4,6.85,"Verlander, Justin",672695,434378,,foul,,,,,9,Geraldo Perdomo strikes out swinging.,R,L,R,AZ,HOU,S,,,1,1,2023,0.48,-0.97,0.68,1.81,,,,0,5,Bot,,,,,455117,,,3.580205219,-114.0782835,-2.185388762,3.414157254,22.824188,-40.40525923,3.33,1.52,3,62.2,-34,77.7,2754,6,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.52,,,,,,,,37,3,Curveball,0,1,0,1,1,0,0,1,,Standard,36,0,-0.055
FF,9/30/2023,95.9,-1.16,6.96,"Verlander, Justin",672695,434378,,ball,,,,,12,Geraldo Perdomo strikes out swinging.,R,L,R,AZ,HOU,B,,,0,1,2023,-0.7,1.44,1.26,4.27,,,,0,5,Bot,,,,,455117,,,7.895554669,-139.3017172,-4.686558789,-10.93127706,33.25406279,-12.56516853,3.5,1.57,,,,94.9,2420,6,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.53,,,,,,,,37,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,203,0,0.028
FF,9/30/2023,95.1,-1.3,6.88,"Verlander, Justin",672695,434378,,called_strike,,,,,1,Geraldo Perdomo strikes out swinging.,R,L,R,AZ,HOU,S,,,0,0,2023,-0.55,1.55,-0.28,3.24,,,,0,5,Bot,,,,,455117,,,3.864545835,-138.2877551,-7.299817487,-7.88539771,32.77709314,-10.89602201,3.44,1.67,,,,94.3,2417,6,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.5,,,,,,,,37,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,206,0,-0.038
